Bin,Mean_Predicted_Probability,Observed_Event_Frequency,Absolute_Error
1,0.26562275700632365,0.018867924528301886,0.24675483247802177
2,0.3210539329543095,0.0,0.3210539329543095
3,0.34478813429206634,0.0,0.34478813429206634
4,0.3656396068525496,0.018867924528301886,0.3467716823242477
5,0.38481807088758385,0.01904761904761905,0.3657704518399648
6,0.40420492118981066,0.0,0.40420492118981066
7,0.4438272701770408,0.05714285714285714,0.38668441303418366
8,0.5138743245402844,0.009433962264150943,0.5044403622761334
