Date,Portfolio_Value,Current_Drawdown,Future_Drawdown_10D,Future_Window_End,Target_DD_3Pct_10D,Target_DD_5Pct_10D,Target_DD_10Pct_10D
2003-05-09 00:00:00+05:30,5.813542555675148,-0.0389993240524835,0.0022796402283038475,2003-05-23 00:00:00+05:30,0.0,0.0,0.0
2003-05-12 00:00:00+05:30,5.826795341154021,-0.0368085882521663,0.007320058344144842,2003-05-26 00:00:00+05:30,0.0,0.0,0.0
2003-05-13 00:00:00+05:30,5.86944782301066,-0.029757970921593,0.01167973958587698,2003-05-27 00:00:00+05:30,0.0,0.0,0.0
2003-05-14 00:00:00+05:30,5.938001445096317,-0.0184257966866843,0.018440913323565677,2003-05-28 00:00:00+05:30,0.0,0.0,0.0
2003-05-15 00:00:00+05:30,6.047503615060546,-0.0003246718827354,0.011580029007684844,2003-05-29 00:00:00+05:30,0.0,0.0,0.0
2003-05-16 00:00:00+05:30,6.117533882347026,0.0,0.003723825252242685,2003-05-30 00:00:00+05:30,0.0,0.0,0.0
2003-05-19 00:00:00+05:30,6.140314509499561,0.0,0.004368067291981026,2003-06-02 00:00:00+05:30,0.0,0.0,0.0
2003-05-20 00:00:00+05:30,6.168312997481499,0.0,-0.00019084326800500317,2003-06-03 00:00:00+05:30,0.0,0.0,0.0
2003-05-21 00:00:00+05:30,6.178912506916323,0.0,-0.001905948730000273,2003-06-04 00:00:00+05:30,0.0,0.0,0.0
2003-05-22 00:00:00+05:30,6.167135816470982,-0.0019059487300002,0.013384897800696072,2003-06-05 00:00:00+05:30,0.0,0.0,0.0
2003-05-23 00:00:00+05:30,6.249682299097459,0.0,0.00830471702359481,2003-06-06 00:00:00+05:30,0.0,0.0,0.0
2003-05-26 00:00:00+05:30,6.356972263907984,0.0,-0.008712972076914571,2003-06-09 00:00:00+05:30,0.0,0.0,0.0
2003-05-27 00:00:00+05:30,6.301584142078833,-0.0087129720769145,0.00890077676550094,2003-06-10 00:00:00+05:30,0.0,0.0,0.0
2003-05-28 00:00:00+05:30,6.357673135796498,0.0,0.014854049579960948,2003-06-11 00:00:00+05:30,0.0,0.0,0.0
2003-05-29 00:00:00+05:30,6.452110327768804,0.0,0.006902802480750481,2003-06-12 00:00:00+05:30,0.0,0.0,0.0
2003-05-30 00:00:00+05:30,6.496647970945403,0.0,0.0025450667362958423,2003-06-13 00:00:00+05:30,0.0,0.0,0.0
2003-06-02 00:00:00+05:30,6.51318237359368,0.0,0.0004515463462508862,2003-06-16 00:00:00+05:30,0.0,0.0,0.0
2003-06-03 00:00:00+05:30,6.516123377296942,0.0,0.011083596167052567,2003-06-17 00:00:00+05:30,0.0,0.0,0.0
2003-06-04 00:00:00+05:30,6.588345457385592,0.0,0.00377927644332976,2003-06-18 00:00:00+05:30,0.0,0.0,0.0
2003-06-05 00:00:00+05:30,6.613244636173208,0.0,0.003871249599758819,2003-06-19 00:00:00+05:30,0.0,0.0,0.0
2003-06-06 00:00:00+05:30,6.66008416450802,0.0,-0.0031888497441365793,2003-06-20 00:00:00+05:30,0.0,0.0,0.0
2003-06-09 00:00:00+05:30,6.71391228165614,0.0,-0.01118068298823871,2003-06-23 00:00:00+05:30,0.0,0.0,0.0
2003-06-10 00:00:00+05:30,6.6388461568241,-0.0111806829882388,0.005746454569383053,2003-06-24 00:00:00+05:30,0.0,0.0,0.0
2003-06-11 00:00:00+05:30,6.676995984657414,-0.0054984777057021,0.010624668386138847,2003-06-25 00:00:00+05:30,0.0,0.0,0.0
2003-06-12 00:00:00+05:30,6.750565919297105,0.0,-0.00038945867925077593,2003-06-26 00:00:00+05:30,0.0,0.0,0.0
2003-06-13 00:00:00+05:30,6.764953285786293,0.0,-0.0025153807066289335,2003-06-27 00:00:00+05:30,0.0,0.0,0.0
2003-06-16 00:00:00+05:30,6.74793685280998,-0.0025153807066289,0.024939025878042198,2003-06-30 00:00:00+05:30,0.0,0.0,0.0
2003-06-17 00:00:00+05:30,6.916223824605603,0.0,0.006008073312420148,2003-07-01 00:00:00+05:30,0.0,0.0,0.0
2003-06-18 00:00:00+05:30,6.976902850902432,0.0,-0.0027413089908537858,2003-07-02 00:00:00+05:30,0.0,0.0,0.0
2003-06-19 00:00:00+05:30,6.996663228112519,0.0,-0.005557824130699163,2003-07-03 00:00:00+05:30,0.0,0.0,0.0
