Date,Ticker,Company_Name,Close,Calculated_Return,Stock_Split,Dividend,Flag_Extreme_Return,Data_Quality_Flag,Data_Quality_Reason
1999-01-08 00:00:00+05:30,SBIN.NS,State Bank of India,11.585897445678713,0.08011683230534872,,0.0,False,True,invalid_ohlc
1999-01-15 00:00:00+05:30,EICHERMOT.NS,Eicher Motors Ltd.,0.7012237906455994,-0.008264279582780198,,0.0,False,True,invalid_ohlc
1999-01-18 00:00:00+05:30,ONGC.NS,Oil & Natural Gas Corporation Ltd.,5.145987033843994,0.024999660452004413,,0.0,False,True,invalid_ohlc
1999-01-20 00:00:00+05:30,TATACONSUM.NS,Tata Consumer Products Ltd.,21.444074630737305,0.0,,0.0,False,True,invalid_ohlc
1999-01-25 00:00:00+05:30,EICHERMOT.NS,Eicher Motors Ltd.,0.7012237906455994,-0.012345655174266557,,0.0,False,True,invalid_ohlc
1999-01-26 00:00:00+05:30,EICHERMOT.NS,Eicher Motors Ltd.,0.7012237906455994,0.0,,0.0,False,True,invalid_ohlc
1999-01-26 00:00:00+05:30,HINDUNILVR.NS,Hindustan Unilever Ltd.,96.5870361328125,0.0,,0.0,False,True,invalid_ohlc
1999-01-26 00:00:00+05:30,INFY.NS,Infosys Ltd.,11.004855155944824,0.0,,0.0,False,True,invalid_ohlc
1999-01-26 00:00:00+05:30,TATACONSUM.NS,Tata Consumer Products Ltd.,22.074440002441406,0.0,,0.0,False,True,invalid_ohlc
1999-02-01 00:00:00+05:30,RELIANCE.NS,Reliance Industries Ltd.,6.469287872314453,-0.03128522566237191,,0.0,False,True,invalid_ohlc
1999-02-01 00:00:00+05:30,TATACONSUM.NS,Tata Consumer Products Ltd.,21.45585250854492,-0.036507885117332495,,0.0,False,True,invalid_ohlc
1999-02-09 00:00:00+05:30,BRITANNIA.NS,Britannia Industries Ltd.,52.41933822631836,-0.0039980937297845465,,0.0,False,True,invalid_ohlc
1999-02-10 00:00:00+05:30,TATACONSUM.NS,Tata Consumer Products Ltd.,24.813861846923828,0.08000055454419508,,0.0,False,True,invalid_ohlc
1999-02-19 00:00:00+05:30,EICHERMOT.NS,Eicher Motors Ltd.,0.7012237906455994,-0.004149453811847281,,0.0,False,True,invalid_ohlc
1999-02-22 00:00:00+05:30,EICHERMOT.NS,Eicher Motors Ltd.,0.7012237906455994,0.0,,0.0,False,True,invalid_ohlc
