Fold,CV_PR_AUC,CV_ROC_AUC
1,0.26705315919027195,0.6001701629842333
2,0.09122709405993751,0.5049038912330052
3,0.07280855631697529,0.5740868939163182
4,0.1571075303260983,0.6745140649523119
