Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Split,Selected_Model,Threshold
Random_Forest,0.6942824377457404,0.17676180552261297,0.8790035587188612,0.5359354521625164,0.225,0.1125,0.15,Validation,True,0.5
Hist_Gradient_Boosting,0.7004423328964614,0.16175299915314256,0.8920521945432978,0.49838630406290957,0.07692307692307693,0.0125,0.021505376344086023,Validation,False,0.5
Logistic_Regression,0.6290137614678899,0.1336122732668314,0.8979833926453143,0.49606815203145477,0.0,0.0,0.0,Validation,False,0.5
Random_Forest,0.6080630213160334,0.022980444631262864,0.6654804270462633,0.6029657089898053,0.024734982332155476,0.5384615384615384,0.0472972972972973,Test,,0.4
