Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
80,1,0.26220811034887503,0.5891494509584962,balanced_subsample,8.0,0.7,3,500
80,2,0.08599883391042004,0.48135021097046415,balanced_subsample,8.0,0.7,3,500
80,3,0.06351200840746343,0.5244648741450447,balanced_subsample,8.0,0.7,3,500
80,4,0.05898429534180891,0.5781319167773351,balanced_subsample,8.0,0.7,3,500
81,1,0.26397344367118847,0.5953798977249565,balanced_subsample,8.0,0.7,5,300
81,2,0.08470693840633425,0.4717674636661978,balanced_subsample,8.0,0.7,5,300
81,3,0.067714673393893,0.5341012931631268,balanced_subsample,8.0,0.7,5,300
81,4,0.052616526159681945,0.5583323272566301,balanced_subsample,8.0,0.7,5,300
82,1,0.2667223706704806,0.5947816684835112,balanced_subsample,8.0,0.7,5,500
82,2,0.08478850518839287,0.4742053445850914,balanced_subsample,8.0,0.7,5,500
82,3,0.06532018814975499,0.5280646858472018,balanced_subsample,8.0,0.7,5,500
82,4,0.06354832502291394,0.5700028170147692,balanced_subsample,8.0,0.7,5,500
83,1,0.2685423612795551,0.5957476979252523,balanced_subsample,8.0,0.7,10,300
83,2,0.0809977997160641,0.45196436943272383,balanced_subsample,8.0,0.7,10,300
83,3,0.06255869785566268,0.5098717913216848,balanced_subsample,8.0,0.7,10,300
83,4,0.06342874097872431,0.5546299649885308,balanced_subsample,8.0,0.7,10,300
84,1,0.2697124614092561,0.5969530190635718,balanced_subsample,8.0,0.7,10,500
84,2,0.08116153624521576,0.45453352086263477,balanced_subsample,8.0,0.7,10,500
84,3,0.059355209121473004,0.48926979204164706,balanced_subsample,8.0,0.7,10,500
84,4,0.05120044925837514,0.5331804096744336,balanced_subsample,8.0,0.7,10,500
85,1,0.2715745919318485,0.5948702950377992,balanced_subsample,,sqrt,3,300
85,2,0.09456585186050016,0.5148804500703235,balanced_subsample,,sqrt,3,300
85,3,0.07307423694496909,0.5816464984908482,balanced_subsample,,sqrt,3,300
85,4,0.04637921482993322,0.5081089782285001,balanced_subsample,,sqrt,3,300
86,1,0.27234766716172315,0.5980076750596013,balanced_subsample,,sqrt,3,500
86,2,0.09466591343296295,0.514017815283638,balanced_subsample,,sqrt,3,500
